church_rate_total,church_rate_evang,church_rate_blackprot,church_rate_mainlineprot,church_rate_catholic,church_rate_orthodox,church_rate_other,church_rate_mormon,church_rate_muslim,state_abb,population_2010,county_fips,church_rate_baptist
535.88889,368.87,74.12,63.78,19.16,0,9.97,6.4,1.58,"AL",194656,1125,323.6089
653.50889,583.64889,16.218889,38.078889,7.7988889,0,7.7588889,7.6388889,0,"AL",67023,1127,386.2978
584.95,420.39889,92.2,70.64,1.71,0,0,0,0,"AL",17581,1129,371.5889
610.45,294.93889,257.67,48.67,1.03,0,8.14,8.14,0,"AL",11670,1131,186.55
611.58,551.34,0,45.618889,9.1088889,0,5.5088889,5.5088889,0,"AL",24484,1133,458.0578
235.90889,42.658889,0,0,0,190.69889,2.5488889,0,0,"AK",3141,2013,42.65778
245.46,41.718889,0,14.75,33.27,135.59,20.14,19.058889,0,"AK",5561,2016,0
352.27889,153.09889,3.87,39.158889,78.708889,7.5888889,69.858889,47.52,3.1688889,"AK",291826,2020,38.97889
529.64889,29.448889,0,130.25,190.68,167.63889,11.64,10.108889,0,"AK",17013,2050,0
293.87889,6.0188889,0,0,60.178889,226.68,1,0,0,"AK",997,2060,6.018889
278.75,169.77,0,0,61.34,0,47.648889,44.908889,0,"AK",1826,2068,52.03
516.2,91.188889,0,89.95,119.25,203.84,11.97,9.08,0,"AK",4847,2070,16.92
288.00889,143.34,4.83,40.67,42.99,1.3788889,54.798889,46.368889,0,"AK",97581,2090,41.81889
349.68,137.15889,0,59.408889,73.76,0,79.348889,32.298889,0,"AK",2508,2100,32.7
294.42,92.09,0,9.7688889,58.14,93.018889,41.398889,36.28,0,"AK",2150,2105,0
286.77889,91.67,0,61.81,60.75,4.7988889,67.75,54.71,0,"AK",31275,2110,24.64889
322.07889,174.87,0,25.398889,50.718889,15.508889,55.578889,52.868889,0,"AK",55400,2122,28.03
315.06,142.24,0,47.71,68.26,0,56.84,54.24,0,"AK",13477,2130,15.14
280.89889,91.158889,0,15.97,36.788889,102.93,34.06,32.298889,0,"AK",13592,2150,16.69889
703.86,0,0,0,0,700.79889,3.0688889,0,0,"AK",1631,2164,0
299.51889,169.4,2.1688889,25.518889,37.688889,1.26,63.49,60.428889,0,"AK",88995,2170,38.39778
470.18889,118.73,0,231.56,92.708889,10.538889,16.648889,12.538889,0,"AK",9492,2180,3.58
163.19889,48.038889,0,84.518889,17.5,0,13.15,11.768889,0,"AK",9430,2185,0
317.02889,218.53,0,54.228889,31.898889,0,12.358889,8.5088889,0,"AK",7523,2188,17.14889
310.35,113.23889,0,132.37,23.588889,3.93,37.218889,28.828889,0,"AK",3815,2195,9.168889
316.42,173.59,0,26.078889,80.95,0,35.798889,31.3,0,"AK",5559,2198,25.35889
0,0,0,0,0,0,0,0,0,"AK",0,2201,0
325.98,104.48889,0,90.31,51.798889,33.78,45.6,38.728889,0,"AK",8881,2220,18.35
278.93,2.0688889,0,67.15,129.12889,0,80.578889,79.548889,0,"AK",968,2230,2.068889
0,0,0,0,0,0,0,0,0,"AK",0,2231,0
0,0,0,0,0,0,0,0,0,"AK",0,2232,0
283.97,144.25889,0,25.89,52.07,0,61.74,57.478889,0,"AK",7029,2240,60.75
345.48,162.19889,19.1,35.798889,45.35,34.038889,48.978889,47.428889,0,"AK",9636,2261,29.77778
868.48,95.718889,0,0,631.85,136.75,4.16,0,0,"AK",7459,2270,0
386.66,119.04,0,77.67,126.64,0,63.32,46.428889,0,"AK",2369,2275,0
0,0,0,0,0,0,0,0,0,"AK",0,2280,0
246.21889,80.06,0,0,75.53,0,90.628889,86.098889,0,"AK",662,2282,0
704.54889,29.35,0,384.39889,260.01889,15.21,15.57,0,0,"AK",5588,2290,0
488.35,53.608889,0,10,209.74,0,215.00889,209.03889,0,"AZ",71518,4001,14.93
404.05,104.85889,6.5588889,25.78,202.62889,.38,63.828889,60.398889,0,"AZ",131346,4003,45.64889
296.89889,80.23,1.27,27.94,50.218889,1.12,136.12,123.73889,1.12,"AZ",134421,4005,9.8
375.86,101.04889,0,27.128889,158.94889,0,88.738889,88.048889,0,"AZ",53597,4007,18.98889
552.47,53.328889,0,15.07,166.41889,.81,316.85,316.12,0,"AZ",37220,4009,7.36
526.49,67.68,0,4.03,309.11,0,145.66889,144.71889,0,"AZ",8437,4011,13.26889
239.59,112.93889,8.49,14.74,54.13,0,49.288889,48.368889,0,"AZ",20489,4012,33.58
390.73,140.00889,1.64,27.28,136.4,3.5088889,81.89,63.59,1.79,"AZ",3817117,4013,23.37778
223.46889,65.84,0,20.288889,92.408889,.32,44.608889,40.7,3.08,"AZ",200186,4015,21.32
436.57889,129.97889,1.93,13.118889,61.42,0,230.12889,226.15889,0,"AZ",107449,4017,26.48
398.41,100.26,4.2688889,37.78,207.87,2.31,45.92,29.238889,.31,"AZ",980263,4019,26.25889
217.18889,54.59,.98,15.618889,104.5,.53,40.968889,37.478889,.95,"AZ",375770,4021,18.63667
393.31889,42.368889,0,9.6788889,320.89889,0,20.37,18.468889,0,"AZ",47420,4023,3.86
259.77889,108.78,0,21.44,78.188889,.47,50.89,45.53,0,"AZ",211033,4025,21.14889
373.98,93.7,1.1288889,20.828889,221.71889,0,36.6,32.178889,1.57,"AZ",195751,4027,20.56889
713.91889,510.49,54.258889,131.44889,15.768889,0,1.95,0,0,"AR",19019,5001,416.64
